lti_number,lti_start_time,lti_end_time,avg_rss_mb,ram_utilization_percent,cpu_utilization_percent,rss_mb,vms_mb,peak_rss_mb,cpu_time_s_delta,wall_time_s_delta
386,131.261564,131.440101,540.8125,6.601715087890625,147.67003561771335,540.8125,3325.3828125,583.8359375,0.019999999999999574,0.01354370906483382
387,131.440101,131.644722,540.814453125,6.601738929748535,102.99550077295461,540.81640625,3325.3828125,583.8359375,0.03000000000000025,0.029127485933713615
388,131.644722,132.284111,540.81640625,6.601762771606445,82.0812448832591,540.81640625,3325.3828125,583.8359375,0.009999999999999787,0.012183051090687513
389,132.284111,132.474364,540.81640625,6.601762771606445,73.74778667599651,540.81640625,3325.3828125,583.8359375,0.010000000000000675,0.013559728977270424
390,132.474364,132.678883,540.81640625,6.601762771606445,103.82212888231324,540.81640625,3325.3828125,583.8359375,0.02999999999999936,0.02889557392336428
391,132.678883,133.183757,540.81640625,6.601762771606445,81.9593665647279,540.81640625,3325.3828125,583.8359375,0.010000000000000675,0.012201167992316186
392,133.183757,133.35694,540.81640625,6.601762771606445,79.95736026742019,540.81640625,3325.3828125,583.8359375,0.009999999999999787,0.012506666011177003
393,133.35694,133.602518,540.81640625,6.601762771606445,100.85651383623639,540.81640625,3325.3828125,583.8359375,0.03000000000000025,0.029745228006504476
394,133.602518,134.438391,540.81640625,6.601762771606445,163.55852191323527,540.81640625,3325.3828125,583.8359375,0.019999999999999574,0.012228039093315601
395,134.438391,134.642884,540.81640625,6.601762771606445,81.16195353377411,540.81640625,3325.3828125,583.8359375,0.009999999999999787,0.01232104399241507
396,134.642884,135.474013,540.81640625,6.601762771606445,81.91536510600477,540.81640625,3325.3828125,583.8359375,0.010000000000000675,0.0122077219421044
397,135.474013,135.579682,540.81640625,6.601762771606445,82.37200373869922,540.81640625,3325.3828125,583.8359375,0.009999999999999787,0.012140047037974
398,135.579682,135.784211,540.81640625,6.601762771606445,119.25252547605017,540.81640625,3325.3828125,583.8359375,0.02999999999999936,0.025156699935905635
399,135.784211,136.274798,540.818359375,6.6017866134643555,72.43763261659008,540.8203125,3325.3828125,583.8359375,0.010000000000000675,0.013804979040287435
400,136.274798,136.518792,540.8203125,6.601810455322266,76.3555612405359,540.8203125,3325.3828125,583.8359375,0.009999999999999787,0.013096623006276786
401,136.518792,136.723251,540.8203125,6.601810455322266,158.57276835142224,540.8203125,3325.3828125,583.8359375,0.019999999999999574,0.012612506048753858
402,136.723251,137.547639,540.8203125,6.601810455322266,81.8237203208564,540.8203125,3325.3828125,583.8359375,0.010000000000000675,0.012221394921652973
403,137.547639,137.681578,540.822265625,6.601834297180176,71.84660060197217,540.82421875,3325.3828125,583.8359375,0.009999999999999787,0.013918543001636863
404,137.681578,137.884453,540.82421875,6.601858139038086,101.68488541542864,540.82421875,3325.3828125,583.8359375,0.040000000000000036,0.03933721303474158
405,137.884453,138.185036,540.82421875,6.601858139038086,149.98113945746812,540.82421875,3325.3828125,583.8359375,0.019999999999999574,0.013335010036826134
406,138.185036,138.361385,540.826171875,6.601881980895996,91.70031079009422,540.828125,3325.3828125,583.8359375,0.020000000000000462,0.02181017689872533
407,138.361385,138.594137,540.830078125,6.601929664611816,94.1808442370251,540.83203125,3325.3828125,583.8359375,0.04999999999999982,0.053089352091774344
408,138.594137,138.798659,540.83203125,6.601953506469727,84.51406198518264,540.83203125,3325.3828125,583.8359375,0.020000000000000462,0.02366470091510564
409,138.798659,139.353754,540.83203125,6.601953506469727,119.0137678752035,540.83203125,3325.3828125,583.8359375,0.04999999999999982,0.042011946090497077
410,139.353754,139.473451,540.83203125,6.601953506469727,95.87061319593649,540.83203125,3325.3828125,583.8359375,0.02999999999999936,0.03129217494279146
411,139.473451,140.401013,540.83203125,6.601953506469727,95.8108556615542,540.83203125,3325.3828125,583.8359375,0.03000000000000025,0.03131169197149575
