lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
218,218.0,219.0,1.0,39,33,6,9,24,1500,141,1359,84.61538461538461,2.943340691685062,1290,8481.153844265584,-167.1798260842143
219,219.0,220.0,1.0,27,27,0,3,24,1050,75,975,100.0,8.615384615384615,912,7536.4776412434485,548.3887838380045
220,220.0,221.0,1.0,45,30,15,6,24,1500,114,1386,66.66666666666666,4.329004329004329,1284,7339.038973738735,2054.696408326233
221,221.0,222.0,1.0,15,12,3,0,12,750,33,717,80.0,0.0,654,6171.937437660043,-1309.771198620348
222,222.0,223.0,1.0,42,18,24,3,15,1500,99,1401,42.857142857142854,5.353319057815845,1341,8635.147619227886,-424.9804422567071
223,223.0,224.0,1.0,57,33,24,3,30,1350,114,1236,57.89473684210527,10.922330097087379,1164,12688.622782005908,2225.5929283748437
224,224.0,225.0,1.0,27,21,6,9,12,1050,120,930,77.77777777777779,1.5053763440860215,894,8404.390899771095,110.30115037312333
225,225.0,226.0,1.0,60,30,30,12,18,1350,174,1176,50.0,1.7219387755102042,1125,8728.68373873757,-1355.925684921243
226,226.0,227.0,1.0,39,27,12,9,18,1500,120,1380,69.23076923076923,2.1739130434782608,1314,11272.767856110708,1810.9744231312607
227,227.0,228.0,1.0,12,12,0,0,12,600,42,558,100.0,0.0,531,8093.734055879754,148.51023929667434
228,228.0,229.0,1.0,57,39,18,9,30,1500,138,1362,68.42105263157895,3.671071953010279,1308,12858.181336056936,-888.8030296697492
229,229.0,230.0,1.0,45,39,6,3,36,1650,123,1527,86.66666666666667,12.966601178781925,1398,18159.037849140852,-272.5978156675193
230,230.0,231.0,1.0,72,27,45,6,21,1650,132,1518,37.5,3.8043478260869565,1419,10709.276869473591,-2048.0857395278904
231,231.0,232.0,1.0,678,465,213,456,9,1650,348,1302,68.58407079646017,0.025012127091923356,1335,24614.53431673088,2204.1386150106136
232,232.0,233.0,1.0,24,15,9,6,9,900,183,717,62.5,1.882845188284519,699,12149.372332639095,1240.7665922117328
233,233.0,234.0,1.0,39,27,12,9,18,1500,288,1212,69.23076923076923,2.4752475247524752,1155,15069.069036328781,-3489.6078462439946
234,234.0,235.0,1.0,39,30,9,12,18,1350,147,1203,76.92307692307693,1.6832917705735662,1161,14619.50253939733,2258.1580463574373
235,235.0,236.0,1.0,33,27,6,9,18,900,66,834,81.81818181818183,2.158273381294964,798,15273.257020028246,3463.816088781413
236,236.0,237.0,1.0,21,15,6,6,9,750,57,693,71.42857142857143,1.6233766233766234,660,12940.479597243953,-562.5991372380647
237,237.0,238.0,1.0,45,33,12,6,27,1500,114,1386,73.33333333333333,4.87012987012987,1317,16524.7555870852,-2358.427561358315
238,238.0,239.0,1.0,48,39,9,9,30,1650,102,1548,81.25,3.55297157622739,1452,19121.26382698568,117.4908536089057
239,239.0,240.0,1.0,57,54,3,9,45,1650,87,1563,94.73684210526315,5.278310940499041,1377,17975.012154011038,626.7785856498433
240,240.0,241.0,1.0,51,39,12,0,39,1800,93,1707,76.47058823529412,0.0,1512,19162.06639997069,16.638386086472792
241,241.0,242.0,1.0,84,66,18,6,60,1500,81,1419,78.57142857142857,10.570824524312897,1275,11303.855165775454,-5112.797330833369
242,242.0,243.0,1.0,75,36,39,12,24,1650,165,1485,48.0,2.2222222222222223,1431,14666.515753872336,3517.754179713656
243,243.0,244.0,1.0,87,75,12,48,27,1500,237,1263,86.20689655172413,0.6680522565320666,1215,16304.669506778146,331.3565176295492
244,244.0,245.0,1.0,63,57,6,12,45,1650,123,1527,90.47619047619048,4.052062868369352,1422,17992.538486120266,1492.81534316582
245,245.0,246.0,1.0,72,63,9,0,63,1200,87,1113,87.5,0.0,1023,18434.326501424104,4411.92346993279
246,246.0,247.0,1.0,48,36,12,6,30,1650,78,1572,75.0,5.248091603053435,1446,20539.714289760333,-3363.925544272266
247,247.0,248.0,1.0,66,42,24,3,39,1950,153,1797,63.63636363636363,14.106844741235392,1701,25284.87587131377,2481.2327535232866
248,248.0,249.0,1.0,54,36,18,6,30,1500,141,1359,66.66666666666666,5.518763796909492,1260,18635.09257664465,-4722.962822587511
249,249.0,250.0,1.0,60,57,3,6,51,1800,147,1653,95.0,9.255898366606171,1548,24779.114940557745,1319.5533594612616
250,250.0,251.0,1.0,30,24,6,0,24,1050,69,981,80.0,0.0,876,13287.17634358528,-38.983266104609356
