lti_number,lti_start_time,lti_end_time,avg_rss_mb,ram_utilization_percent,cpu_utilization_percent,rss_mb,vms_mb,peak_rss_mb,cpu_time_s_delta,wall_time_s_delta
84,29.361205,29.565826,676.3203125,8.255863189697266,101.7672460157786,676.3359375,3556.98828125,675.91796875,0.3099999999999987,0.3046166739659384
85,29.565826,30.399671,676.345703125,8.256173133850098,97.54869907915119,676.35546875,3556.98828125,676.16796875,0.28000000000000114,0.2870361190289259
86,30.399671,30.604152,676.3671875,8.25643539428711,101.35939917416256,676.37890625,3556.98828125,676.16796875,0.3000000000000007,0.2959764979314059
87,30.604152,30.980352,676.390625,8.256721496582031,98.84781274407534,676.40234375,3556.98828125,676.16796875,0.29999999999999716,0.3034968520514667
88,30.980352,31.248144,676.427734375,8.257174491882324,101.24077691248414,676.453125,3556.98828125,676.16796875,0.3100000000000023,0.306200732011348
89,31.248144,31.439119,676.484375,8.257865905761719,98.25426943242506,676.515625,3556.98828125,676.16796875,0.3200000000000003,0.32568559295032173
90,31.439119,31.643636,676.517578125,8.258271217346191,102.12143943522472,676.51953125,3556.98828125,676.16796875,0.28999999999999915,0.283975629019551
91,31.643636,31.918845,676.52734375,8.258390426635742,100.89685404644186,676.53515625,3556.98828125,676.16796875,0.28999999999999915,0.28742224199231714
92,31.918845,32.466828,676.56640625,8.258867263793945,96.90061219305711,676.59765625,3556.98828125,676.16796875,0.28999999999999915,0.2992757150204852
93,32.466828,32.671317,676.61328125,8.259439468383789,101.08593487217988,676.62890625,3556.98828125,676.41796875,0.3000000000000007,0.29677719296887517
94,32.671317,32.875123,676.634765625,8.2597017288208,99.76439398999418,676.640625,3556.98828125,676.41796875,0.28999999999999915,0.2906848710263148
95,32.875123,33.037901,676.748046875,8.26108455657959,101.40073003651491,676.85546875,3557.1484375,676.66796875,0.33000000000000185,0.32544144394341856
96,33.037901,33.234825,676.857421875,8.262419700622559,100.79278596286758,676.859375,3557.1484375,676.66796875,0.3099999999999987,0.3075616940623149
97,33.234825,33.375311,676.861328125,8.262467384338379,98.5305091901449,676.86328125,3557.1484375,676.66796875,0.2900000000000027,0.29432508000172675
98,33.375311,34.542917,676.86328125,8.262491226196289,98.82682942963854,676.86328125,3557.1484375,676.66796875,0.28999999999999915,0.2934425820130855
99,34.542917,34.747488,676.875,8.26263427734375,102.18402555433124,676.88671875,3557.1484375,676.66796875,0.28000000000000114,0.27401543292216957
100,34.747488,34.875604,676.896484375,8.262896537780762,101.9521747963991,676.90625,3557.1484375,676.66796875,0.29999999999999716,0.2942556160269305
101,34.875604,35.18669,676.916015625,8.263134956359863,101.2962514396477,676.92578125,3557.1484375,676.66796875,0.28999999999999915,0.286288975039497
102,35.18669,35.582114,676.94140625,8.263444900512695,97.61774836060134,676.95703125,3557.1484375,676.66796875,0.3200000000000003,0.32780924101825804
103,35.582114,35.786627,676.96484375,8.263731002807617,99.68354648538019,676.97265625,3557.1484375,676.66796875,0.269999999999996,0.2708571369294077
104,35.786627,35.989927,676.990234375,8.26404094696045,100.08432276596284,677.0078125,3557.1484375,676.66796875,0.29000000000000625,0.2897556700045243
105,35.989927,36.505064,677.017578125,8.264374732971191,103.22198784226634,677.02734375,3557.1484375,676.66796875,0.28999999999999915,0.2809478930430487
106,36.505064,36.709558,677.03515625,8.264589309692383,99.88651266685598,677.04296875,3557.1484375,676.66796875,0.269999999999996,0.2703067639376968
107,36.709558,38.241574,677.056640625,8.264851570129395,98.76986016160062,677.0703125,3557.1484375,676.66796875,0.2700000000000031,0.27336274401750416
108,38.241574,38.58642,677.078125,8.265113830566406,100.75965762886574,677.0859375,3557.1484375,676.66796875,0.28999999999999915,0.2878136020153761
109,38.58642,38.791097,677.095703125,8.265328407287598,97.83814799527781,677.10546875,3557.1484375,676.91796875,0.28000000000000114,0.2861869380576536
110,38.791097,39.491639,677.12109375,8.26563835144043,102.0641101862813,677.13671875,3557.1484375,676.91796875,0.269999999999996,0.264539610943757
111,39.491639,39.82414,677.1484375,8.265972137451172,98.65965642985672,677.16015625,3557.1484375,676.91796875,0.28000000000000114,0.28380394796840847
